id;name;price
F-001;Тумба приліжкова Nord;1890.00
F-002;Комод Lora 4 шухляди;4690.00
F-003;Журнальний столик Loft Oak;2790.00
F-004;Крісло Mellow Beige;6490.00
F-005;Полиця настінна Line 120;1590.00
F-006;Банкетка Soft Grey;3290.00
F-007;Консольний столик Nova;3890.00
F-008;Тумба під телевізор Frame 160;5290.00
F-009;Стелаж Urban 5 полиць;4390.00
F-010;Пуф Cube Velvet;1990.00
F-011;Дзеркало підлогове Arco;3590.00
F-012;Стіл обідній Terra 140;7490.00
F-013;Шафа вузька Mono;8990.00
F-014;Крісло для відпочинку Relax;багато
F-015;;2590.00
F-016;Тумба без ціни
